,State Code,District Code,Sub District Code,Category,Name,Residence,Inhabited Villages,Uninhabited Villages,Towns,Households,Population (Person),Population (Male),Population (Female),Area,Population Density
10901,21,395,3160,SUB-DISTRICT,Madanpur Rampur ,Urban,0,0,1,1995,7892,4034,3858,7.01,1125.8202567760343
10902,21,395,3161,SUB-DISTRICT,Narala ,Total,183,9,0,28822,109499,54796,54703,575.4191457177843,190.2943286035603
10903,21,395,3161,SUB-DISTRICT,Narala ,Rural,183,9,0,28822,109499,54796,54703,575.4191457177843,190.2943286035603
10904,21,395,3161,SUB-DISTRICT,Narala ,Urban,0,0,0,0,0,0,0,0.0,0.0
10905,21,395,3162,SUB-DISTRICT,Lanjigarh  ,Total,197,30,0,11269,47451,23555,23896,433.742562846647,109.39899392990091
10906,21,395,3162,SUB-DISTRICT,Lanjigarh  ,Rural,197,30,0,11269,47451,23555,23896,433.742562846647,109.39899392990091
10907,21,395,3162,SUB-DISTRICT,Lanjigarh  ,Urban,0,0,0,0,0,0,0,0.0,0.0
10908,21,395,3163,SUB-DISTRICT,Biswanathpur ,Total,120,13,0,5409,23395,11365,12030,244.83007995390045,95.55606894547064
10909,21,395,3163,SUB-DISTRICT,Biswanathpur ,Rural,120,13,0,5409,23395,11365,12030,244.83007995390045,95.55606894547064
10910,21,395,3163,SUB-DISTRICT,Biswanathpur ,Urban,0,0,0,0,0,0,0,0.0,0.0
10911,21,395,3164,SUB-DISTRICT,Sadar,Total,296,22,1,52948,219195,110518,108677,974.9639126989845,224.82370592897567
10912,21,395,3164,SUB-DISTRICT,Sadar,Rural,296,22,0,37349,150150,75012,75138,959.5639126989845,156.47733101766
10913,21,395,3164,SUB-DISTRICT,Sadar,Urban,0,0,1,15599,69045,35506,33539,15.4,4483.441558441558
10914,21,395,3165,SUB-DISTRICT,Kegaon ,Total,107,1,0,26148,102668,51395,51273,527.1771231001945,194.7504842323878
